＃,Japanese,English,French,German
1,IEC/TC 9,IEC/TC 9,IEC/TC 9,IEC/TC 9 (f)
2,IAE歯車試験［ギヤ油の］,IAE gear machine method,methode de la machine d’engrenage IAE (f),IAE-Getriebemaschinenverfahren (n)
3,ISM帯,ISM band,Bande ISM (f),ISM-Band (n)
4,ISO/TC 17,ISO/TC 17,ISO/TC 17,ISO/TC 17 (f)
5,ISO/TC 269,ISO/TC 269,ISO/TC 269,ISO/TC 269 (f)
6,ISO粘度グレード,ISO viscosity grade,Indice de viscosite ISO (m),"ISO-Viskositatsgrad (m), ISO-Zahigkeitgrad (f)"
7,IS式,IS type,type IS (m),IS-Typ (m)
8,IS式軸箱支持装置,IS type axle box suspension,suspension de boite d’essieu de type IS (f),IS-Typ-Achslagerfederung (f)
9,IMTS,intelligent multimode transit system,systeme de transit multimode intelligent (IMTS) (m),Intelligentes Multimodus-Transitsystem (n)
10,I形超電導磁石,I-shaped superconducting magnet,aimant supraconducteur en forme de I (m),I-formiger supraleitender Magnet (m)
11,I形継目板,toeless joint bar,barre de joint sans doigt (f),zehenlose Gelenkstange (f)
12,ICE,Intercity Express,Intercity Express (ICE) (f),ICE (Intercity Express)
13,IGBT,insulated gate bipolar transistor,transistor bipolaire a gachette isolee (m),"Bipolartransistor mit isolierter Steuerelektrode (m), Isolierschicht-Bipolartransistor (m)"
14,合図,sign,"signe (m), indice (m)",Zeichen (n)
15,合図器,sign device,dispositif de signal (m),Zeichengerat (n)
16,アイスレンズ［土の］,ice lens,lentille de glace (f),"Eislinse (f), Frostlinse (f)"
17,アイソレーション［トンネル工法の］,isolation,isolation (f),"Isolation (f), Isolierung (f), Reindarstellung (f)"
18,ITC［運行管理の］,integrated traffic control by computer,systeme integre de controle du mouvement par ordinateur (m),Integrierte Verkehrssteuerung durch Rechner (f)
19,ITCS,incremental train control system,Systeme incremental de commande des trains (m),inkrementales Zugsteuerungssystem (n)
20,IDタグ［車両・コンテナ車の］,"ID tag, RFID（radio frequency identification）tag",etiquette d’identification (f),"ID-Etikettenkennzeichen (n), RFID (radio frequency identification)-Etikettenkennzeichen (n)"
21,IT-FRENS,IT-FRENS System,Systeme IT-FRENS (m),IT-FRENS-System (n)
22,ITU-R,International Telecommunication Union-Radio communication sector,Union Internationale des Telecommunications (f) - Secteur de la communication radio (m),Internationale Fernmeldeunion - Bereich Funkubertragungen (pl)
23,アイドリング［エンジンの］,"idling, idle running",marche a vide (f),Leerlauf (m)
24,アイバー［鋼材の］,eye bar,"barre a l’oeil (f), barre d’acier avec oeillets aux extremites (f)",Augenstab (m)
25,IP［曲線の］,inter point,point intermediaire (m),Tangentenschnittpunkt (m)
26,Iビーム,I beam,poutre en I (f),I-Form-Balken (m)
27,EIRENE,European Integrated Railway radio Enhanced Network,Reseau radio integre renforce des chemins de fer europeens (EIRENE) (m),europaisches Eisenbahn-Funknetzwerk (n)
28,アウトガス,outgas,Degazage (m),Ausgasen (n)
29,アウトケーブル［構造物の］,exterior cable,cable pour l’exterieur (m),Ausenkabel (n)
30,亜鉛スリーブ懸垂がいし,zinc sleeve suspension insulator,isolateur de suspension a manchon en zinc (m),Zinkhulsenhangeisolator (m)
31,亜鉛めっき鋼より線,galvanized steel wire strands,cable en acier galvanise (m),verzinkter Stahl-Litzendraht (m)
32,青票［貨車の］,blue label,etiquette bleue (f),blauer Zettel (m)
33,あおり［軌道回路の］,chattering of track circuit,"vibration du circuit de voie (f), broutage du circuit de voie (m)",Gleisstromkreis-Rattern (n)
34,あおり戸［貨車の］,drop-down side door,porte laterale rabattable (f),hinabfallende Seitentur (f)
35,赤票［貨車の］,red label,etiquette rouge (f),roter Zettel (m)
36,明り区間,open section,section ouverte (f),offener Querschnitt (m)
37,明かり窓［車両の］,"skylight, clerestory, lighting window","ouverture d’acces (f), trappe d’acces (f), lucarne vitree (f)","Beleuchtungsfenster (n), Dachfenster (n), Schragfenster (n), Oberlicht (n)"
38,あき［鉄筋の］,"spacing, clearance, clear distance",espacement des barres (m),"Abstand (m), Zwischenraum (m), lichte Entfernung (f)"
39,アキシアル荷重［軸受の］,axial load,charge axiale (f),Axiallast (f)
40,アーク,arc,arc (m),Lichtbogen (m)
41,アークカットボード,pantograph head protection plate,plaque de protection de l’archet (f),Bugelschutzplatte (f)
42,アーク検知器,arc detector,detecteur d’arc (m),Lichtbogendetektor (m)
43,アーク集電［浮上式鉄道の］,arc power collection,captage de courant en arc (m),"Lichtbogenleistungssammlung (f), Lichtbogenstromabnehmen (n)"
44,アークシュート［高速遮断器の］,arc chute,boite de soufflage (f),Lichtbogenkammer (f)
45,アクセシビリティ［駅の］,accessibility,accessibilite (f),Zuganglichkeit (f)
46,アクセス［交通機関の］,access,acces (m),"Zugang (m), Zufahrt (f)"
47,アクセス交通機関,access mode,transport d’acces (m),Zugangsverkehrstrager (m)
48,アクセルカウンター,axle counter,compteur d’essieux (m),Achszahler (m)
49,アーク損傷［パンタグラフの］,arc damage,"degradations dus aux arcs (fpl), degats de decharge a arc (mpl)",Lichtbogen-entladener Schaden (m)
50,アクティブコントロール,active control,"regulation active (f), commande active (f)","aktive Regelung (f), aktive Steuerung (f)"
51,アクティブサスペンション［車両の］,active suspension,suspension active (f),"aktive Aufhangung (f), aktive Federung (f)"
52,アクティブ車体傾斜システム,active car-body tilting system,systeme d’inclinaison active de caisse de voiture (m),"aktives Neigungssystem (n), aktives Neigesystem (n)"
53,アクティブ制御,active control,"regulation active (f), commande active (f)","aktive Regelung (f), aktive Steuerung (f)"
54,アクティブノイズコントロール,active noise control,controle actif du bruit (m),Antischall (m)
55,アクティブフィルター,active filter,"charge active (f), charge renforcante (f), filler actif (m)","aktiver Fullstoff (m), Verstarkerfullmittel (n), verstarkender Fullstoff (m), aktiver Filter (m)"
56,アークホーン［がいしの］,arcing horn,"parafoudre cornu (m), paratonnerre cornu (m)","Hornerableiter (m), Lichtbogenschutzhorn (n)"
57,上げ迫め,finishing,finition (f),Endbearbeitung (f)
58,揚げぶた［車両の］,"floor trap, trapdoor",trappe de plancher (f),"Bodenklappe (f), Bodenentladetur (f), Bodenentladeklappe (f)"
59,浅い基礎［基礎の］,shallow foundation,"fondation peu profonde (f), fondation superficielle (f), fondation de surface (f)","Flachgrundung (f), Flachfundament (n)"
60,浅虫地すべり,Asamushi landslide,glissement de terrain Asamushi (m),Asamushi-Erdrutsch (m)
61,足掛［車体の］,"footrest, step",repose-pieds (m),Fusstutze (f)
62,脚付き型鋼管矢板井筒基礎,steel-pipe-sheet-pile foundation with legs,fondation de palplanches a tubes d’acier avec bequilles (f),rollende Stahlleitung Fundament (Caissonnfundament) mit Beinen (n)
63,アジテータカー［コンクリート運搬用の］,concrete mixer wagon,voiture avec agitateur (f),Lastkraftwagenmischer (m)
64,アース［変電所の］,earth (connection),mise a la terre (f),"Erde (f), Erdung (f)"
65,アースアンカー［構造物の］,"earth anchor, ground anchor",tirant d’ancrage (m),Erdanker (m)
66,アースオーガー,earth auger,"tariere (f), tariere a large spire (f)","Erdbohrer (m), Tellerbohrer (m), Erudschlangenbohrer (m)"
67,アース検知器,earth fault detector,detecteur de defaut a la terre (m),Erdschlussuberwachungsgerat (n)
68,アーススイッチ［車両の］,ground switch,commutateur de terre (m),Erdschalter (m)
69,アースドリル杭,earth drill pile,"pieu fore (m), pieu fore dans le sol (m)",Erdbohrpfahl (m)
70,アースドリル工法,earth drill method,"methode de forage du sol (f), methode de sondage du sol (f)","Erdbohrungsmethode (f), Erdbohrungsverfahren (n)"
71,ASTREE,ASTREE,Automatisation du Suivi des Trains en temps reel (f),Automatisierung der Zugverfolgung in Echtzeit (f)
72,アスファルト路盤,asphalt roadbed,plate-forme de voie en asphalte (f),asphaltierter Bahnkorper (m)
73,アースブラシ［車両の］,earthing brush,balai de mise a la terre (m),Erdungsburste (f)
74,アスペクト比［車両先頭部の］,aspect ratio,"rapport d’allongement (m), rapport de la largeur a la hauteur (m)","Langenverhaltnis des rechteckigen Querschnittes (n), Flugelstreckung (f)"
75,アセスメント［環境の］,assessment,"evaluation (f), estimation (f), appreciation (f), expertise (f)",Prufung (f)
76,アセスメント法,Environmental Impact Assessment Law,methode d’evaluation de l’impact sur l’environnement (f),Umweltbeeintrachtigungsbewertungsgesetz (n)
77,Acela,Acela Express,Express Acela (m),Acela Express
78,アタック角［車輪とレールの］,angle of attack,"angle d’attaque (m), angle d’incidence (m), angle de cisaillement (m)","Anlaufwinkel (m), Wendewinkel (m)"
79,ATACS,advanced train administration and communications system,Systeme avance d’administration et de communication de trains (m),Fortschrittliches Zugverwaltungs- und Kommunikationssystem (n)
80,頭付き制輪子,headed brake shoe,sabot de frein a semelle amovible (m),Bremsklotz mit Kopf (m)
81,当り取り［トンネルの］,"scaling, chiseling","ebarbage (m), reglage (m)","Abschalen (n), Abschuppen (n), Abblattern (n)"
82,アーチ［トンネルの］,tunnel arch,voute de tunnel (f),Tunnelbogen (m)
83,アーチ橋,"arch bridge, arched bridge","pont arque (m), pont a arches (m), pont en arc (m), pont voute (m), pont-voute (m)",Bogenbrucke (f)
84,アーチけた［車両の］,arch rail,rail en arc (m),"Bogenschiene (f), Bogenbalken (m)"
85,アーチの径間,span of arch,portee d’arche (f),Spannweite des Bogens (f)
86,圧壊［レールの］,crushing,ecrasement (m),Quetschen (f)
87,圧気工法,pneumatic method,methode pneumatique (f),"pneumatisches Verfahren (n), Druckluftverfahren (n)"
88,圧気シールド［トンネルの］,pneumatic shield,bouclier a air comprime (m),Druckluftschild (m)
89,圧ざ［コンクリートの］,compressive crack,fissure due a la compression (f),Druckriss (m)
90,圧搾空気［削岩機の］,compressed air,air comprime (m),Druckluft (m)
91,圧縮永久ひずみ［ゴムの］,compression set,remanence par compression (f),"bleibende Druckverformung (f), Formanderungsrest nach der Zusammendruckung (m), Kompression (f), Dauerverformung (f)"
92,圧縮強度［コンクリートの］,compressive strength,resistance a la compression (f),Druckfestigkeit (f)
93,圧縮沈下［地盤の］,compression settlement,tassement de compression (m),"Kompressionssetzung (f), Verdichtungsabsackung (f), Verdichtungssenkung (f)"
94,圧縮鉄筋,compression bar,armature de compression (f),Druckstab (m)
95,圧縮波,compression wave,onde de compression (f),Druckwelle (f)
96,圧縮比［ディーゼルエンジンの］,compression ratio,taux de compression (m),"Verdichtungsverhaltnis (n), Verdichtungsgrad (m)"
97,圧縮粉砕率試験［バラストの］,crush ratio by press test,examen d’ecrasement du ballast (m),Quetschverhaltnis durch Druckversuch (n)
98,圧接,pressure welding,"soudage en bout par pression (m), soudage avec pression (m)","Stumfschweisen mit Heizelement (n), HS-Schweisen (n)"
99,圧接クロッシング,pressure welded crossing,croisement soude par pression (m),"druckgeschweiste Kreuzung (f), presgeschweiste Kreuzung (f)"
100,圧送［コンクリートの］,pumping of concrete,transport par flexible a air comprime (m),Betonpumpen (n)
101,圧着工法［電線の］,crimping,sertissage (m),Crimpen (n)
102,圧着式レールブレーキ,press-type rail brake,frein de voie de type pression (m),"Drucken-Typ-Schienenbremse (f), Pressen-Typ-Gleisbremse (f)"
103,圧電ゴム,piezoelectric rubber,caoutchouc piezoelectrique (m),Piezoelektrischer Kautschuk (m)
104,圧入,"press fit, press fitting, pressure fit","emmanchement force (m), emmanchement par effort","Prespassung (f), Pressitz (m)"
105,圧入エコー［超音波探傷の］,"wheelbore reflection, press fit echo",echo de la partie montee sous pression (m),Aufpressecho（n）
106,圧入曲線［輪軸の］,diagram of pressing-on force,diagramme de la force de presse (m),Diagramm der Anpresskraft (n)
107,圧入けん引工法,push and pull method,methode de poussee et traction (f),Schieben-und-Ziehen-Methode der Konstruktion (f)
108,圧入工法［土木の］,jacking method,methode d’injection sous pression (f),Verpresverfahren (n) [mining]
109,圧入工法［信号の］,press filling method,methode d’injection sous pression (f),Verpresverfahren (n) [mining]
110,圧入力曲線,diagram of pressing-on force,diagramme de la force de presse (m),Diagramm der Anpresskraft (n)
